Isolate,Vancomycin,Streptomycin,Macrolide,Chloramphenicol,Amikacin/Gentamicin/Kanamycin/Tobramycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Amikacin/Kanamycin,Other antimicrobial,Tetracycline,Lincosamide/Macrolide/Streptogramin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Trimethoprim,Fosfomycin,Quinolone,Amikacin/Kanamycin/Tobramycin,Streptogramin
NZ_CP064430.1,,,,,,,,,,,,,,,,,,,
NZ_CP064429.1,,,,,,,,,,,,,,,,,,,
NZ_CP064428.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia*,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP064427.1,,,,,,,,,,,,,,,,,,,
NZ_CP064426.1,,,,,,,,,,,,,,,dfrG,,,,
NZ_CP064425.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP064416.1,,,,,,,,,,,,,,,,,,,
NZ_CP064415.1,,,,,,,,,,,,,,,,,,,
NZ_CP064414.1,,,,,,,,,,,,,,,,,,,
NZ_CP064413.1,,,,,,,,,,,,,,,,,,,
NZ_CP064412.1,,,,,,,,,,,,,,,,,,,
NZ_CP064411.1,,,,,,,,,,,,,,,,,,,
NZ_CP064410.1,,,,,,,,,,,,,,,,,,,
NZ_CP064409.1,,,,,,,,,,,,,,,,,,,
NZ_CP064408.1,,,,,,,,,,,,,,,,,,,
NZ_CP064407.1,,,,,,,,,,,,,,,,,,,
NZ_CP012464.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia*,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP012463.1,,,,,,,,,,,,,,,,,,,
NZ_CP012462.1,,,,,,,,,,,,,,,,,,,
NZ_CP012461.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP041279.2,"vanA,vanH-A,vanR-A*,vanS-A,vanX-A",ant(6)-Ia*,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B)^,,,,,,,
NZ_CP041269.2,"vanA,vanH-A,vanR-A*,vanS-A,vanX-A",ant(6)-Ia*,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B)^,,,,,,,
NZ_CP041268.2,,,,,,,,,,,,,,,,,,,
NZ_CP041267.2,,,,,,,,,,,,,,,,,,,
NZ_CP041266.2,,,,,,,,,,,,,,,,,,,
NZ_CP041265.2,,,,,,,,,,,,,,,,,,,
NZ_CP041264.2,,,,,,,,,,,,,,,,,,,
NZ_CP041263.2,,,,,,,,,,,,,,,,,,,
NZ_CP041262.2,,,,,aac(6')-Ie/aph(2'')-Ia^,,,,,,,,,,,,,,
NZ_CP041271.2,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP041278.1,,,,,,,,,,,,,,,,,,,
NZ_CP041277.1,,,,,,,,,,,,,,,,,,,
NZ_CP041276.1,,,,,,,,,,,,,,,,,,,
NZ_CP041275.1,,,,,,,,,,,,,,,,,,,
NZ_CP041273.1,,,,,,,,,,,,,,,,,,,
NZ_CP041272.1,,,,,,,,,,,,,,,,,,,
NZ_CP119158.1,,,,,,,,,,,,,,,,,,,
NZ_CP119157.1,,,,,,,,,,,,,,,,,,,
NZ_CP119156.1,,,,,,,,,,,,,,,,,,,
NZ_CP119155.1,,,,,,,,,,,,,,,,,,,
NZ_CP119154.1,,,,,,,,,,,,,,,,,,,
NZ_CP119153.1,,,,,,,,,,,,,,,,,,,
NZ_CP119152.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B),,,,,,,,,,,,,,,,
NZ_CP119151.1,,,,,,,,,,,,,,,,,,,
NZ_CP016169.1,,,,,,,,,,,,,,,,,,,
NZ_CP016168.1,,,,,,,,,,,,,,,,,,,
NZ_CP016167.1,,,,,,,,,,,,,,,,,,,
NZ_CP016166.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP016165.1,,,,,,,,,,,,,,,,,,,
NZ_CP016164.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP018829.1,,,,,,,,,,,,,,,,,,,
NZ_CP018827.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP018826.1,,,,,,,,,,,,,,,,,,,
NZ_CP018825.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP018832.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP018831.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP012435.1,,,,,,,,,,,,,,,,,,,
NZ_CP012434.1,,,,,,,,,,,,,,,,,,,
NZ_CP012433.1,,,,,,,,,,,,,,,,,,,
NZ_CP012432.1,,,,,,,,,,,,,,,,,,,
NZ_CP012431.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4^,,,,,,,,,,
NZ_CP046170.1,,,,,,,,,,,,,,,,,,,
NZ_CP046169.1,,,,catA,aac(6')-Ie/aph(2'')-Ia,,,,,,,,,,,,,,
NZ_CP046168.1,,ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP046167.1,,,,,,,,,,,,,,,,,,,
NZ_CP013010.1,,,,,,,,,,,,,,,,,,,
NC_021996.1,,,,,,,,,,,,,,,,,,,
NC_021995.1,,,,,,,,,,,,,,,,,,,
NC_021990.1,,,,,,,,,,,,,,,,,,,
NC_021989.1,,,,,,,,,,,,,,,,,,,
NC_021988.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B)^,lsa(E)*,,,,,,
NC_021987.1,,,,,,,,,,,,,,,,,,,
NZ_CP118956.1,,,,,,,,,,,,,,,,,,,
NZ_CP038997.1,"vanH-M,vanM,vanR-M,vanS-M",,,,,,,,,,,,,,,,,,
NZ_CP039730.1,"vanH-M,vanM,vanS-M,vanX-M^",,,,,,,,,,,,,,,,,,
NZ_CP118551.1,,,erm(B)^,,,,,,,"tet(L)*,tet(M)",,,,,dfrG,,,,
NZ_CP118550.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B)*,,aac(6')-Ie/aph(2'')-Ia,,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,,,,,
NZ_CP118549.1,,,,,,optrA*,fexA*,,,,,,,,,,,,
NC_020208.1,,,,,,,,,,,,,,,,,,,
NZ_OP378679.1,,,,,,,,,,,,,,,,,,,
NZ_OP378674.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OP378671.1,,,,,,,,,,,,,,,,,,,
NZ_OP378677.1,,,,,,,,,,,,,,,,,,,
NZ_OP378687.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OP378680.1,,,,,,,,,,,,,,,,,,,
NZ_OP378688.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia^,erm(B),,,,,,,,,,,,,,,,
NZ_OP378691.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia*,,,,,,,sat4,,,,,,,,,,
NZ_OP378686.1,,ant(6)-Ia*,erm(B),,,,,,sat4,,,,,,,,,,
NZ_OP378681.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_OP378683.1,,,,,,,,,,,,,,,,,,,
NZ_OP378675.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B),,,,,,,,,,,,,,,,
NZ_OP378670.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_OP378689.1,,,,,,,,,,,,,,,,,,,
NZ_OP378684.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_OP378678.1,"vanA*,vanH-A,vanR-A*,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_OP378672.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia*,erm(B)*,,,,,,sat4,,,,,,,,,,
NZ_OP378676.1,,,,,,,,,,,,,,,,,,,
NZ_OP378673.1,,,,,,,,,,,,,,,,,,,
NZ_OP378685.1,,,,,,,,,,,,,,,,,,,
NZ_OP378682.1,,,,,,,,,,,,,,,,,,,
NZ_CP076331.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),catA,,,,,,,,,,,,,,,
NZ_CP076464.1,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanZ-A,vanY-A^",,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,,,,,,,
NZ_CP076330.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP091581.1,,,,,,,,,,,,,,,,,,,
NZ_CP091580.1,,,,,,,,,,,,,,,,,,,
NZ_CP091579.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B),,,,,,,,,,,,,,,,
NZ_CP091578.1,,,,,,,,,,,,,,,,,,,
NC_017961.1,,,,,,,,,,"tet(L),tet(M)",,,,,,,,,
NC_017962.1,,ant(6)-Ia,erm(B),catA,,,,aph(3')-IIIa,"sat4,sat4^",,,,,,,,,,
NC_017963.1,,,,,,,,,,,,,,,,,,,
NZ_CP091306.1,,,,,,,,,,,,,,,,,,,
NZ_CP091305.1,,,,,,,,,,,,,,,,,,,
NZ_CP091304.1,,,,,,,,,,,,,,,,,,,
NZ_CP091303.1,,ant(6)-Ia,,,,,,aph(3')-IIIa,,,,lnu(B)^,lsa(E),,,,,,
NZ_CP091302.1,,,erm(B)^,,,,,,,,,,,,,,,,
NC_010980.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",str^,,,,,,,,,,,,,,,,,
NC_010880.1,,,,,,,,,,,,,,,,,,,
NC_006427.1,,,,,,,,,,,,,,,,,,,
NZ_MT683615.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_MT096402.1,,,,,,,,,,,,,,,,,,,
NZ_KY595967.1,,,,,,,,,,,,,,,,,,,
NZ_KY595970.1,,,,,,,,,,,,,,,,,,,
NZ_KY595965.1,,,,,,,,,,,,,,,,,,,
NZ_MH784602.1,,ant(6)-Ia,"erm(B)*,poxtA",,,,,aph(3')-IIIa,,"tet(L)*,tet(M)",,,,,dfrG,,,,
NZ_MH784601.1,,ant(6)-Ia,"erm(B)*,poxtA",,,,,aph(3')-IIIa,,"tet(L)*,tet(M)",,,,,dfrG,,,,
NZ_MG674581.1,,,,,,,,,,,,,,,,,,,
NZ_MG674582.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",str^,,,,,,,,,,,,,,,,,
NZ_KY595966.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_KY595962.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_KY579372.1,,ant(6)-Ia,erm(B)*,,,optrA*,,aph(3')-IIIa,,,cfr,lnu(B),,,,,,,
NZ_KY554216.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_KY595963.1,,,,,,,,,,,,,,,,,,,
NZ_KY595969.1,,,,,,,,,,,,,,,,,,,
NZ_KY595964.1,,,,,,,,,,,,,,,,,,,
NZ_KX574671.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_KX810025.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_KX810026.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B),catA,,,,,,,,,,,,,,,
NZ_KP842560.1,,ant(6)-Ia,erm(B),catA,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_KP345886.1,,,,,,,,,,"tet(L),tet(M)",,,,,,,,,
NZ_CP017791.1,,,,,,,,,,,,,,,,,,,
NZ_CP017790.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia*,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP017789.1,,,,,,,,,,,,,,,,,,,
NZ_CP017788.1,,,,,,,,,,,,,,,,,,,
NZ_CP017798.1,,,,,,,,,,,,,,,,,,,
NZ_CP017794.1,,,,,,,,,,,,,,,,,,,
NZ_CP018132.1,,,,,,,,,,,,,,,,,,,
NZ_CP018131.1,,ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP018130.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanZ-A^",,,,,,,,,,,,,,,,,,
NZ_CP018129.1,,,,,,,,,,,,,,,,,,,
NZ_CP019976.1,,,,,,,,,,,,,,,,,,,
NZ_CP019975.1,,,,,,,,,,,,,,,,,,,
NZ_CP019974.1,,,,,,,,,,,,,,,,,,,
NZ_CP019973.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP019972.1,,ant(6)-Ia*,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP019971.1,,,erm(A),,,,,,,,,,,ant(9)-Ia,dfrG,,,,
NZ_CP019212.1,,,,,,,,,,,,,,,,,,,
NZ_CP019211.1,,,,,,,,,,,,,,,,,,,
NZ_CP019210.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP019209.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP018073.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP018072.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,"tet(L),tet(L)*,tet(M)^",,lnu(B),lsa(E),,,,,,
NZ_CP018070.1,,,,,,,,,,,,,,,,,,,
NZ_CP116535.1,,,,,,,,,,"tet(L)*,tet(M)*",,,,,,,,,
NZ_CP116534.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP116533.1,,,erm(B),,,optrA,,,,,,,,,dfrG,,,,
NZ_CP116542.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP116541.1,,,,,,,,,,,,,,,,,,,
NZ_CP116545.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP116544.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B),,aac(6')-Ie/aph(2'')-Ia,optrA*,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP116552.1,,,poxtA*,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP116551.1,,,erm(B)*,,,,,,,,,,,,,,,,
NZ_CP116550.1,,,,,,,,,,,,,,,,,,,
NZ_CP116548.1,,,poxtA*,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP116547.1,,,,,,,,,,,,,,,,,,,
NZ_CP116516.1,,,poxtA,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,,,,,,,
NZ_CP116515.1,,,,,,,,,,,,,,,dfrG,,,,
NZ_CP116527.1,,,,,,,,,,"tet(L)*,tet(M)*",,,,,,,,,
NZ_CP116526.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP116525.1,,,,,,,,,,,,,,,,,,,
NZ_CP116524.1,,,erm(B),,,optrA,,,,,,,,,dfrG,,,,
NZ_CP116531.1,,,,,,,,,,"tet(L)*,tet(M)*",,,,,,,,,
NZ_CP116530.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP116529.1,,,erm(B),,,optrA,,,,,,,,,dfrG,,,,
NZ_CP116522.1,,,"erm(B),poxtA",,,,,,,"tet(L)*,tet(M)*",,,,,,,,,
NZ_CP116521.1,,,,,,,,,,tet(M),,,,,,,,,
NZ_CP116519.1,,ant(6)-Ia,"erm(B),poxtA",,,,,,,"tet(L)*,tet(M)",,lnu(B),lsa(E),spw,,,,,
NZ_CP116518.1,,,,,,,,,,,,,,,,,,,
NZ_CP116539.1,,,,,,,,,,,,,,,,,,,
NZ_CP116538.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP116537.1,,,,,,,,,,,,,,,,,,,
NZ_CP038165.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP116025.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP116024.1,,,,,,,,,,,,,,,,,,,
NZ_CP038162.1,,,"erm(B),poxtA",,,,,,,"tet(L),tet(M)",,,,,,,,,
NZ_CP066658.1,,,,,,,,,,,,,,,,,,,
NZ_CP066657.1,,,,,,,,,,,,,,,,,,,
NZ_CP066656.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP066655.1,,,,,,,,,,,,,,,,,,,
NZ_CP066654.1,,,,,,,,,,,,,,,,,,,
NZ_CP066636.1,,,,,,,,,,,,,,,,,,,
NZ_CP066635.1,,,,,,,,,,,,,,,,,,,
NZ_CP066634.1,,,,,,,,,,,,,,,,,,,
NZ_CP066633.1,,,,,,,,,,,,,,,,,,,
NZ_CP066632.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066631.1,,,,,,,,,,,,,,,,,,,
NZ_CP066630.1,,,,,,,,,,,,,,,,,,,
NZ_CP066652.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066650.1,,,,,,,,,,,,,,,,,,,
NZ_CP066649.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066648.1,,,,,,,,,,,,,,,,,,,
NZ_CP066647.1,,,,,,,,,,,,,,,,,,,
NZ_CP066646.1,,,,,,,,,,,,,,,,,,,
NZ_CP066605.1,,,,,,,,,,,,,,,,,,,
NZ_CP066604.1,,,,,,,,,,,,,,,,,,,
NZ_CP066603.1,"vanA*,vanH-A,vanX-A",,,,,,,,,,,,,,,,,,
NZ_CP066602.1,,,,,,,,,,,,,,,,,,,
NZ_CP066601.1,,,,,,,,,,,,,,,,,,,
NZ_CP066600.1,,,,,,,,,,,,,,,,,,,
NZ_CP066599.1,"vanR-A,vanS-A",,,,,,,,,,,,,,,,,,
NZ_CP066597.1,,,,,,,,,,,,,,,,,,,
NZ_CP066596.1,,,,,,,,,,,,,,,,,,,
NZ_CP066595.1,,,,,,,,,,,,,,,,,,,
NZ_CP066594.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066593.1,,,,,,,,,,,,,,,,,,,
NZ_CP066592.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066582.1,,,,,,,,,,,,,,,,,,,
NZ_CP066581.1,,,,,,,,,,,,,,,,,,,
NZ_CP066580.1,,,,,,,,,,,,,,,,,,,
NZ_CP066579.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066578.1,,,,,,,,,,,,,,,,,,,
NZ_CP066577.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066590.1,,,,,,,,,,,,,,,,,,,
NZ_CP066589.1,,,,,,,,,,,,,,,,,,,
NZ_CP066588.1,,,,,,,,,,,,,,,,,,,
NZ_CP066587.1,,,,,,,,,,,,,,,,,,,
NZ_CP066586.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia^,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066585.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066584.1,,,,,,,,,,,,,,,,,,,
NZ_CP066575.1,,,,,,,,,,,,,,,,,,,
NZ_CP066574.1,,,,,,,,,,,,,,,,,,,
NZ_CP066573.1,,,,,,,,,,,,,,,,,,,
NZ_CP066572.1,,,,,,,,,,,,,,,,,,,
NZ_CP066571.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B),,,,,,,,,,,,,,,,
NZ_CP066570.1,,,,,,,,,,,,,,,,,,,
NZ_CP066569.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066666.1,,,,,,,,,,,,,,,,,,,
NZ_CP066665.1,,,,,,,,,,,,,,,,,,,
NZ_CP066663.1,,,,,,,,,,,,,,,,,,,
NZ_CP066662.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066661.1,,,,,,,,,,,,,,,,,,,
NZ_CP066660.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066644.1,,,,,,,,,,,,,,,,,,,
NZ_CP066643.1,,,,,,,,,,,,,,,,,,,
NZ_CP066642.1,,,,,,,,,,,,,,,,,,,
NZ_CP066641.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia*,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066640.1,,,,,,,,,,,,,,,,,,,
NZ_CP066639.1,,,,,,,,,,,,,,,dfrG,,,,
NZ_CP066638.1,,,,,,,,,,,,,,,,,,,
NZ_CP066672.1,,,,,,,,,,,,,,,,,,,
NZ_CP066671.1,,,,,,,,,,,,,,,,,,,
NZ_CP066670.1,,,,,,,,,,,,,,,,,,,
NZ_CP066669.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066668.1,,,,,,,,,,,,,,,,,,,
NZ_CP066628.1,,,,,,,,,,,,,,,,,,,
NZ_CP066626.1,,,,,,,,,,,,,,,,,,,
NZ_CP066625.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066624.1,,,,,,,,,,,,,,,,,,,
NZ_CP066623.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066618.1,,,,,,,,,,,,,,,,,,,
NZ_CP066616.1,,,,,,,,,,,,,,,,,,,
NZ_CP066615.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066679.1,,,,,,,,,,,,,,,,,,,
NZ_CP066678.1,,,,,,,,,,,,,,,,,,,
NZ_CP066677.1,,,,,,,,,,,,,,,,,,,
NZ_CP066676.1,,,,,,,,,,,,,,,,,,,
NZ_CP066675.1,,ant(6)-Ia,erm(B)^,,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066674.1,,,,,,,,,,,,,,,,,,,
NZ_CP066613.1,,,,,,,,,,,,,,,,,,,
NZ_CP066612.1,,,,,,,,,,,,,,,,,,,
NZ_CP066611.1,,,,,,,,,,,,,,,,,,,
NZ_CP066610.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066609.1,,,,,,,,,,,,,,,,,,,
NZ_CP066608.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066607.1,,,,,,,,,,,,,,,,,,,
NZ_MW821651.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP066479.1,,,,,,,,,,,,,,,,,,,
NZ_CP066478.1,,,,,,,,,,,,,,,,,,,
NZ_CP066477.1,,,,,,,,,,,,,,,,,,,
NZ_CP066476.1,,,,,,,,,,,,,,,,,,,
NZ_CP066475.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP066474.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066414.1,,,,,,,,,,,,,,,,,,,
NZ_CP066413.1,,,,,,,,,,,,,,,,,,,
NZ_CP066412.1,,,,,,,,,,,,,,,,,,,
NZ_CP066411.1,,,,,,,,,,,,,,,,,,,
NZ_CP066410.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP066408.1,,,,,,,,,,,,,,,,,,,
NZ_CP066406.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP066405.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B),,,,,,,
NZ_CP066404.1,,,,,,,,,,,,,,,,,,,
NZ_CP066403.1,,,,,,,,,,,,,,,dfrG,,,,
NZ_CP066402.1,,,,,,,,,,,,,,,,,,,
NZ_CP066401.1,,,,,,,,,,,,,,,,,,,
NZ_CP066400.1,,,,,,,,,,,,,,,,,,,
NZ_CP066399.1,,,,,,,,,,,,,,,,,,,
NZ_CP066398.1,,,,,,,,,,,,,,,,,,,
NZ_CP066397.1,,,,,,,,,,,,,,,,,,,
NZ_CP066450.1,,,,,,,,,,,,,,,,,,,
NZ_CP066449.1,,,,,,,,,,,,,,,,,,,
NZ_CP066448.1,,,,,,,,,,,,,,,,,,,
NZ_CP066447.1,,,,,,,,,,,,,,,,,,,
