Isolate,Chloramphenicol,Tetracycline,Macrolide,Amikacin/Kanamycin,Other antimicrobial,Streptomycin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Amikacin/Gentamicin/Kanamycin/Tobramycin,Trimethoprim,Vancomycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Lincosamide/Macrolide/Streptogramin,Kanamycin/Tobramycin,Streptogramin,Fosfomycin
LR962364.1,,,,,,,,,,,,,,,,,,
LR962360.1,,,,,,,,,,,,,,,,,,
LR962357.1,,,erm(B),,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962355.1,,,,,,,,,,,,,,,,,,
LR962354.1,catA,"tet(L)*,tet(M)",erm(B),aph(3')-IIIa*,sat4,,,,,,dfrG,,,,,,,
LR962352.1,catA*,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
LR962350.1,,,,,,,,,,,,,,,,,,
LR962349.1,,,erm(B),,,ant(6)-Ia,lnu(B),lsa(E),spw,,dfrG,,,,,,,
LR962347.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
LR962345.1,,,,,,,,,,,,,,,,,,
LR962344.1,,,,,,,,,,,,,,,,,,
LR962342.1,,,,,sat4^,ant(6)-Ia,,,,,,,,,,,,
LR962341.1,,,,,,,,,,,,,,,,,,
LR962339.1,,,,,,,,,,,,,,,,,,
LR962338.1,,,erm(B)*,,,,,,,,,,,,,,,
LR962337.1,,,erm(B)*,,,,,,,,,,,,,,,
LR962335.1,,"tet(L),tet(M)",,,,str,,,,,,,,,,,,
LR962333.1,,,,,,,,,,,,,,,,,,
LR962332.1,,,,,,,,,,,,,,,,,,
LR962330.1,,,,,,,,,,,,,,,,,,
LR962329.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962327.1,,,,,,,,,,,,,,,,,,
LR962325.1,,,,,,,,,,,,,,,,,,
LR962324.1,,,,,,,,,,,,,,,,,,
LR962320.1,,"tet(L),tet(M)",,,,,,,,,,,,,,,,
LR962318.1,,,,,,,,,,,,,,,,,,
LR962317.1,,,,,,,,,,,,,,,,,,
LR962314.1,,,,,,,,,,,,,,,,,,
LR962313.1,,,,,,,,,,,,,,,,,,
LR962312.1,,tet(M),,,,,,,,,,,,,,,,
LR962310.1,,,,,,,,,,,,,,,,,,
LR962309.1,,,erm(B),aph(3')-IIIa,sat4^,ant(6)-Ia,,,,,,,,,,,,
LR962308.1,,,,,,,,,,,,,,,,,,
LR962307.1,,,,,,,,,,,,,,,,,,
LR962305.1,,,,,,,,,,,,,,,,,,
LR962304.1,,,,,,,,,,,,,,,,,,
LR962303.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962301.1,,,,,,,,,,,,,,,,,,
LR962299.1,catA,"tet(L),tet(M)",erm(B),,,str,,,,,,,,,,,,
LR962297.1,,,erm(B),,,,,,,,,,,,,,,
LR962295.1,,,,,,,,,,,,,,,,,,
LR962294.1,,,,,,,,,,,,,,,,,,
LR962292.1,,,,,,,,,,,,,,,,,,
LR962291.1,,,,,,,,,,,,,,,,,,
LR962290.1,,,,,,,,,,,,,,,,,,
LR962289.1,,,,,,,,,,,,,,,,,,
LR962287.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrC*,,,,,,,
LR962286.1,,,erm(B),,,,,,,,,,,,,,,
LR962285.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962282.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962281.1,,,,,,ant(6)-Ia,,,,,,,,,,,,
LR962279.1,,,,,,,,,,,,,,,,,,
LR962278.1,catA,,erm(B),,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A,vanZ-A",,,,,,
LR962276.1,,,,,,,,,,,,,,,,,,
LR962274.1,,,,,,,,,,,,,,,,,,
LR962273.1,,,,,,,,,,,,,,,,,,
LR962272.1,,,,,,,,,,,,,,,,,,
LR962270.1,,,,,,,,,,,,,,,,,,
LR962269.1,,,,,,,,,,,,,,,,,,
LR962268.1,catA,,erm(B),aph(3')-IIIa,sat4,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
LR962266.1,,,,,,,,,,,,,,,,,,
LR962265.1,,,,,,,,,,,,,,,,,,
LR962262.1,,,,,,,,,,,,,,,,,,
LR962261.1,,,,,,,,,,,,,,,,,,
LR962260.1,,,,,,,,,,,,,,,,,,
LR962259.1,,,,,,,,,,,,,,,,,,
LR962257.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
LR962255.1,,,erm(B)*,aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962253.1,,,,,,,,,,,,,,,,,,
LR962252.1,,,,,,,,,,,,,,,,,,
LR962250.1,,,,,,,,,,,,,,,,,,
LR962249.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962247.1,,,,,,,,,,,,,,,,,,
LR962245.1,,,,,,,,,,,,,,,,,,
LR962244.1,,,,,,,,,,,,,,,,,,
LR962243.1,,,,,,,,,,,,,,,,,,
LR962241.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962240.1,,,,,,,,,,,,,,,,,,
LR962238.1,,,,,,,,,,,,,,,,,,
LR962237.1,,,,,,,,,,,,,,,,,,
LR962235.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962233.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962232.1,catA,,erm(B),,,,,,,,,,,,,,,
LR962229.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962228.1,,,,,,,,,,,,,,,,,,
LR962226.1,,,,,,,,,,,,,,,,,,
LR962223.1,,,,,,str*,,,,,,,,,,,,
LR962220.1,,,,,,,,,,,,,,,,,,
LR962219.1,,,,,,,,,,,,,,,,,,
LR962218.1,,,,,,,,,,,,,,,,,,
LR962216.1,,,,,,,,,,,,,,,,,,
LR962215.1,,,,,,,,,,,,,,,,,,
LR962214.1,,,,,,,,,,,dfrG,,,,,,,
LR962212.1,,,,,,,,,,,,,,,,,,
LR962209.1,,,,,,,,,,,,,,,,,,
LR962208.1,,,,,,,,,,,,,,,,,,
LR962207.1,,,,,,,,,,,,,,,,,,
LR962206.1,,,,,,,,,,,,,,,,,,
LR962205.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962202.1,,,,,,,,,,,,,,,,,,
LR962201.1,,,,,,,,,,,,,,,,,,
LR962199.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
LR962198.1,,,,,,,,,,,,,,,,,,
LR962195.1,,,,,,,,,,,,,,,,,,
LR962193.1,,,,,,,,,,,,,,,,,,
LR962192.1,,,,,,,,,,,,,,,,,,
LR962191.1,,,,,,,,,,,,,,,,,,
LR962186.1,,,,,,,,,,,,,,,,,,
LR962183.1,,,,,,,,,,,,,,,,,,
LR962181.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962179.1,,,,,,,,,,,,,,,,,,
LR962177.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia*,,,,,,,,,,,,
LR962176.1,catA,,erm(B),,,,,,,,,,,,,,,
LR962175.1,,,,,,,,,,,,,,,,,,
LR962173.1,,,,,,,,,,,,,,,,,,
LR962172.1,,,,,,,,,,,,,,,,,,
LR962170.1,,,,,,,,,,,,,,,,,,
LR962168.1,,,,,,,,,,,,,,,,,,
LR962167.1,,,,,,,,,,,,,,,,,,
LR962166.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,"ant(6)-Ia,str^",,,,,,,,,,,,
LR962164.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962162.1,,,erm(B),,,,,,,,,,,,,,,
LR962160.1,,,,,,,,,,,,,,,,,,
LR962159.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,"str,ant(6)-Ia^",,,,,,,,,,,,
LR962156.1,,,,,,,,,,,,,,,,,,
LR962154.1,,,,,,,,,,,,,,,,,,
LR962153.1,,tet(O)*,erm(B),,,,,,,,,,,,,,,
LR962151.1,,,,,,,,,,,,,,,,,,
LR962150.1,,,,,,,,,,,,,,,,,,
LR962148.1,,,,,,,,,,,,,,,,,,
LR962147.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,,ant(6)-Ia^,,,,,,,,,,,,
LR962145.1,,tet(M)*,,,,,,,,,,,,,,,,
LR962143.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
LR962142.1,,,erm(B),,,,,,,,,,,,,,,
LR962140.1,,,,,,,,,,,,,,,,,,
LR962139.1,,"tet(L),tet(M)",erm(B),,,str,,,,,,,,,,,,
LR962135.1,,,,,,,,,,,,,,,,,,
LR962134.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962133.1,catA,tet(L)^,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962131.1,,,erm(B),,,,,,,,,,,,,,,
LR962130.1,,,,,,,,,,,,,,,,,,
LR962128.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962127.1,,,erm(B),,,,,,,,,,,,,,,
LR962126.1,,,,,,,,,,,,,,,,,,
LR962124.1,,,,,,,,,,,,,,,,,,
LR962122.1,,,,,,,,,,,,,,,,,,
LR962120.1,,,,,,,,,,,,,,,,,,
LR962118.1,,,,,,,,,,,,,,,,,,
LR962116.1,catA,,erm(B),,,,,,,,,,,,,,,
LR962114.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrC*,,,,,,,
LR962113.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962111.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962109.1,,,,,,,,,,,,,,,,,,
LR962108.1,,,,,,,,,,,,,,,,,,
LR962106.1,,,,,,,,,,,,,,,,,,
LR962105.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962104.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
LR962102.1,,,,,,,,,,,,,,,,,,
LR962099.1,,,erm(B),,,,,,,,,,,,,,,
LR962096.1,,,,,,,,,,,,,,,,,,
LR962095.1,,,,,,,,,,,,,,,,,,
LR962094.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962092.1,,,,,,,,,,,,,,,,,,
LR962090.1,cat-TC^,tet(L),erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962088.1,,,,,,,,,,,,,,,,,,
LR962087.1,,,,,,,,,,,,,,,,,,
LR962084.1,,,,,,,,,,,,,,,,,,
LR962082.1,,,,,,,,,,,,,,,,,,
LR962081.1,,,,,,,,,,,,,,,,,,
LR962080.1,,,,,,,,,,,dfrG,,,,,,,
LR962079.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962077.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrC*,,,,,,,
LR962076.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR962073.1,,,,,,,,,,,,,,,,,,
LR962071.1,,,,,,,,,,,,,,,,,,
LR962070.1,,,,,,,,,,,,,,,,,,
LR962069.1,,,,,,,,,,,,,,,,,,
LR962067.1,,,,,,,,,,,,,,,,,,
LR962065.1,,,,,,,,,,,,,,,,,,
LR962064.1,,,,,,,,,,,,,,,,,,
LR962062.1,,,,,,,,,,,,,,,,,,
LR962061.1,,,,,,,,,,,,,,,,,,
LR962059.1,,,,,,,,,,,,,,,,,,
LR962058.1,,,,,,,,,,,,,,,,,,
LR962057.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962055.1,,,,,,,,,,,,,,,,,,
LR962054.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962052.1,catA,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962050.1,catA,,erm(B),,,,,,,,,,,,,,,
LR962048.1,,,,,,,,,,,,,,,,,,
LR962047.1,,,,,,,,,,,,,,,,,,
LR962045.1,,,,,,,,,,,,,,,,,,
LR962044.1,,,,,,,,,,,,,,,,,,
LR962042.1,,,,,,,,,,,,,,,,,,
LR962041.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
LR962040.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962038.1,,,,,,,,,,,,,,,,,,
LR962035.1,,,,,,,,,,,,,,,,,,
LR962033.1,,,,,,,,,,,,,,,,,,
LR962032.1,,,,,,,,,,,,,,,,,,
LR962031.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
LR962027.1,,,,,,,,,,,,,,,,,,
LR962026.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
LR962024.1,,,,,,,,,,,,,,,,,,
LR962022.1,,,,,,,,,,,,,,,,,,
LR962020.1,,,,,,,,,,,,,,,,,,
LR962018.1,,,,,,,,,,,,,,,,,,
LR962015.1,,,erm(B),,,ant(6)-Ia^,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
LR962014.1,,,,,,,,,,,,,,,,,,
LR962012.1,,,,,,,,,,,,,,,,,,
LR962011.1,,,,,,,,,,,,,,,,,,
LR962009.1,,,,,,,,,,,,,,,,,,
LR962007.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
LR962006.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR962005.1,,,,,,,,,,,,,,,,,,
LR962003.1,,,erm(B),,,,,,,,,,,,,,,
LR962001.1,,,,,,,,,,,,,,,,,,
LR962000.1,,,,,,,,,,,,,,,,,,
LR961998.1,,,,,,,,,,,,,,,,,,
LR961995.1,,,,,,,,,,,,,,,,,,
LR961993.1,,,,,,,,,,,,,,,,,,
LR961992.1,,,,,,,,,,,,,,,,,,
LR961990.1,,,,,,,,,,,,,,,,,,
LR961988.1,,,,,,,,,,,,,,,,,,
LR961987.1,,,,,,,,,,,,,,,,,,
LR961984.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,
LR961983.1,,,,,,,,,,,dfrD,,,,,,,
LR961979.1,,,,,,,,,,,,,,,,,,
LR961977.1,,,,,,,,,,,,,,,,,,
LR961976.1,,,,,,,,,,,,,,,,,,
LR961974.1,,,,,,,,,,,,,,,,,,
LR961973.1,,,,,,,,,,,,,,,,,,
LR961972.1,,,,,,,,,,,,,,,,,,
LR961971.1,catA,tet(L),erm(B),aph(3')-IIIa,sat4*,ant(6)-Ia,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,
LR961967.1,,,,,,,,,,,,,,,,,,
LR961962.1,,,,,,,,,,,,,,,,,,
LR961960.1,,,,,,str*,,,,,,,,,,,,
LR961958.1,,,,,,,,,,,,,,,,,,
LR961956.1,,,,,,,,,,,,,,,,,,
LR961955.1,,,,,,,,,,,,,,,,,,
LR961954.1,,"tet(L),tet(M)",erm(B),,,"ant(6)-Ia,str",,,spw,,,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A",,,,,,
LR961952.1,,,,,,,,,,,,,,,,,,
LR961950.1,,,,,,,,,,,,,,,,,,
LR961949.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
LR961947.1,,,,,,,,,,,,,,,,,,
LR961946.1,,,,,,,,,,,,,,,,,,
LR961944.1,,,,,,,,,,,,,,,,,,
LR961943.1,,,,,,,,,,,,,,,,,,
LR961941.1,,,,,,,,,,,,,,,,,,
LR961940.1,,,,,,,,,,,,,,,,,,
LR961939.1,,,,,,,,,,,,,,,,,,
LR961937.1,,,,,,,,,,,,,,,,,,
LR961936.1,,,,,,,,,,,,,,,,,,
LR961934.1,,,,,,,,,,,,,,,,,,
LR961932.1,,,,,,,,,,,,,,,,,,
LR961931.1,,,,,,,,,,,,,,,,,,
LR961930.1,,,,,,,,,,,,,,,,,,
LR961929.1,,,,,,,,,,,,,,,,,,
LR961928.1,catA,tet(L),erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
LR961927.1,,,,,,,,,,,,,,,,,,
LR961926.1,,,,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,"vat(A)*,vgb(A)*",
CP068243.1,,"tet(L)*,tet(M)",,,,,,,,,,,,,,,,
LC499744.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
